,date,away_team,away_score,home_team,home_score,home_away_diff
0,"Thu, Sep 8",CAR,20,DEN,21,1
1,"Sun, Sep 11",GB,27,JAX,23,-4
2,"Sun, Sep 11",SD,27,KC,33,6
3,"Sun, Sep 11",OAK,35,NO,34,-1
4,"Sun, Sep 11",CIN,23,NYJ,22,-1
5,"Sun, Sep 11",CLE,10,PHI,29,19
6,"Sun, Sep 11",MIN,25,TEN,16,-9
7,"Sun, Sep 11",CHI,14,HOU,23,9
8,"Sun, Sep 11",BUF,7,BAL,13,6
9,"Sun, Sep 11",TB,31,ATL,24,-7
10,"Sun, Sep 11",MIA,10,SEA,12,2
11,"Sun, Sep 11",NYG,20,DAL,19,-1
12,"Sun, Sep 11",DET,39,IND,35,-4
13,"Sun, Sep 11",NE,23,ARI,21,-2
14,"Mon, Sep 12",PIT,38,WAS,16,-22
15,"Mon, Sep 12",LA,0,SF,28,28
16,"Thu, Sep 15",NYJ,37,BUF,31,-6
17,"Sun, Sep 18",SF,27,CAR,46,19
18,"Sun, Sep 18",DAL,27,WAS,23,-4
19,"Sun, Sep 18",CIN,16,PIT,24,8
20,"Sun, Sep 18",NO,13,NYG,16,3
21,"Sun, Sep 18",MIA,24,NE,31,7
22,"Sun, Sep 18",KC,12,HOU,19,7
23,"Sun, Sep 18",TEN,16,DET,15,-1
24,"Sun, Sep 18",BAL,25,CLE,20,-5
25,"Sun, Sep 18",SEA,3,LA,9,6
26,"Sun, Sep 18",TB,7,ARI,40,33
27,"Sun, Sep 18",JAX,14,SD,38,24
28,"Sun, Sep 18",ATL,35,OAK,28,-7
29,"Sun, Sep 18",IND,20,DEN,34,14
30,"Sun, Sep 18",GB,14,MIN,17,3
31,"Mon, Sep 19",PHI,29,CHI,14,-15
32,"Thu, Sep 22",HOU,0,NE,27,27
33,"Sun, Sep 25",ARI,18,BUF,33,15
34,"Sun, Sep 25",OAK,17,TEN,10,-7
35,"Sun, Sep 25",WAS,29,NYG,27,-2
36,"Sun, Sep 25",CLE,24,MIA,30,6
37,"Sun, Sep 25",BAL,19,JAX,17,-2
38,"Sun, Sep 25",DET,27,GB,34,7
39,"Sun, Sep 25",DEN,29,CIN,17,-12
40,"Sun, Sep 25",MIN,22,CAR,10,-12
41,"Sun, Sep 25",LA,37,TB,32,-5
42,"Sun, Sep 25",SF,18,SEA,37,19
43,"Sun, Sep 25",NYJ,3,KC,24,21
44,"Sun, Sep 25",SD,22,IND,26,4
45,"Sun, Sep 25",PIT,3,PHI,34,31
46,"Sun, Sep 25",CHI,17,DAL,31,14
47,"Mon, Sep 26",ATL,45,NO,32,-13
48,"Thu, Sep 29",MIA,7,CIN,22,15
49,"Sun, Oct 2",IND,27,JAX,30,3
50,"Sun, Oct 2",TEN,20,HOU,27,7
51,"Sun, Oct 2",CLE,20,WAS,31,11
52,"Sun, Oct 2",SEA,27,NYJ,17,-10
53,"Sun, Oct 2",BUF,16,NE,0,-16
54,"Sun, Oct 2",CAR,33,ATL,48,15
55,"Sun, Oct 2",OAK,28,BAL,27,-1
56,"Sun, Oct 2",DET,14,CHI,17,3
57,"Sun, Oct 2",DEN,27,TB,7,-20
58,"Sun, Oct 2",LA,17,ARI,13,-4
59,"Sun, Oct 2",NO,35,SD,34,-1
60,"Sun, Oct 2",DAL,24,SF,17,-7
61,"Sun, Oct 2",KC,14,PIT,43,29
62,"Mon, Oct 3",NYG,10,MIN,24,14
63,"Thu, Oct 6",ARI,33,SF,21,-12
64,"Sun, Oct 9",NE,33,CLE,13,-20
65,"Sun, Oct 9",PHI,23,DET,24,1
66,"Sun, Oct 9",CHI,23,IND,29,6
67,"Sun, Oct 9",TEN,30,MIA,17,-13
68,"Sun, Oct 9",WAS,16,BAL,10,-6
69,"Sun, Oct 9",HOU,13,MIN,31,18
70,"Sun, Oct 9",NYJ,13,PIT,31,18
71,"Sun, Oct 9",ATL,23,DEN,16,-7
72,"Sun, Oct 9",CIN,14,DAL,28,14
73,"Sun, Oct 9",BUF,30,LA,19,-11
74,"Sun, Oct 9",SD,31,OAK,34,3
75,"Sun, Oct 9",NYG,16,GB,23,7
76,"Mon, Oct 10",TB,17,CAR,14,-3
