price,sq_feet,quality
30992.64,718,38
21187.6,601,30
47161.68,896,41
15338.82,421,19
29759.07,551,49
75073.44,748,88
57383.6,684,95
95230,1275,80
88813.32,1974,38
112984.18,1759,54
30240,425,56
41110.93,603,49
61675.9,587,87
33955.3,1710,21
31068.8,1895,12
130472.64,1232,94
28216.08,1006,21
97382.18,1223,78
144873.1,1586,93
37193.2,620,48
13754,464,15
19565.92,1231,14
69960.88,1887,32
48048,1030,40
126668.96,1494,93
100465.51,1743,51
66344.88,1586,32
121645.04,1497,89
56761.56,1122,58
31970.4,752,32
81454.96,918,91
82229.6,1191,80
212791.04,1968,94
19157.3,749,15
40269,766,50
99844.4,1136,99
89830.48,776,96
23181.52,816,22
53675.76,1503,28
77025.24,1526,41
85039.5,1450,61
156562.15,1631,85
38227.68,1788,17
73448.1,923,83
68724.6,1778,34
135928.8,1990,76
46464.52,1636,23
12437.88,1401,7
119267.2,1828,60
134334.72,1826,68
59398.04,627,84
23042,1925,12
89152.96,1922,42
116191.6,1158,80
76592.64,1558,48
126274.24,1667,72
46564.52,822,63
55161.48,628,93
25693.8,673,30
102565.5,1931,50
55095.6,1032,46
45696.84,499,99
179086.29,1797,87
20899.8,1549,10
95814.04,868,87
58879.23,1767,33
128098.88,1906,62
157803.52,1773,88
53598.16,816,52
115055.2,1380,87
28957.46,1381,14
11508.78,403,22
9253.44,1606,4
42064,535,80
41611.92,621,64
94735.44,1402,59
133782,1372,85
8154,1795,1
7111.2,926,1
26036.49,1187,21
108926.71,1451,87
7215.6,624,3
24706.5,443,50
47011.32,598,82
47120,1784,25
22640,882,20
105483.24,1699,52
38594.12,1748,19
16456,1038,15
5670.3,1915,1
27160,1925,10
46102.42,578,79
9642.96,1586,2
53427.64,917,54
86294.4,697,96
63445.2,1618,40
34811.04,798,32
85856.8,990,76
59607.75,1675,37
117180,1252,100
11321.47,1673,3
37615.2,585,68
208099.67,1847,97
75044.01,1873,37
66775.32,1234,49
29378.96,1262,18
33374.82,1879,19
34627.32,1046,29
74492,640,98
115118.98,1211,97
71393.76,1472,53
196592.4,1967,90
47147.41,1347,29
48896.16,926,56
145793.92,1823,72
39873.6,1140,28
16052.4,1580,8
62971.06,1686,39
50200.92,586,78
101120.35,1377,65
32704,598,60
33444,547,52
58934.7,779,70
37714.88,1062,27
63062.32,714,89
169471.6,1940,99
71823.66,1926,31
16856,1482,8
179710.28,1948,87
50088.5,605,67
15288,1411,10
38005.38,913,37
115721.6,1640,79
20582.4,1096,15
151564.7,1893,95
46818,721,58
26503.2,1848,15
58640.8,1335,44
18077.2,801,20
84206.82,1663,58
13853,681,13
104225.1,1245,86
152002.88,1608,77
138325.36,1604,76
23945.64,741,28
95561.12,1774,48
17747.2,1735,8
13875.84,1346,8
79054.8,893,95
111160.48,1044,87
91929.6,1880,41
74587.5,1250,47
62195.7,1063,55
200137.12,1821,92
22375.84,468,34
10521.59,1949,3
136451,1301,100
34524.33,1243,21
26048,1868,10
39112.08,772,48
72800.18,779,93
142730.12,1876,89
51986.78,1414,29
22515.6,1740,12
26353.4,591,44
118696.8,1680,59
177911,1949,100
52396.8,1340,37
6726.06,897,2
39497.76,877,36
165274.85,1953,97
60232.4,1692,28
112010,1540,60
64478.2,1842,30
63144.2,1157,55
6417.36,942,1
105379.2,1294,64
54992.48,1612,38
178728.32,1848,97
111315.75,1805,65
167641.25,1877,75
62725.5,1135,57
92039.2,1788,44
116098.4,1571,64
59136.94,1862,33
102292,1510,60
163960.5,1851,75
51499.36,469,84
50486.48,1572,28
190059.66,1799,86
82570,1695,50
67279.94,1201,53
39587.2,1348,33
54013.2,688,61
54210,1406,35
66606.28,887,58
87216.8,805,96
29735,1455,17
48921.2,1822,30
8664.6,1063,5
40506.57,1397,29
146092.68,1649,79
132220,1536,75
10763,1075,6
33437.6,1820,16
84733.2,1339,49
100670.08,1832,57
128289.68,1758,66
149609.8,1572,97
18595.85,735,21
13926.5,1422,5
40630.8,1053,32
42388.5,1179,30
31001.6,630,36
24071.25,717,25
71597.12,1281,46
78112.32,1948,43
49873.2,781,55
69418.3,855,77
128504.8,1290,82
11814.56,1344,7
54593.8,884,67
77867.7,1327,58
59731.36,971,54
48734,550,66
32046.7,1290,17
75326.15,1467,57
8399.7,1790,3
79137,1513,49
10467.92,652,11
56798.32,1104,41
58527.6,1455,36
20385.84,1024,18
23089.24,609,33
62622.67,1021,69
88875.36,1356,57
