rentals,day_of_week,season,holiday,temp,humidity
109,Monday,Spring,0,21,0.5
45,Tuesday,Spring,1,25,0.414
63,Wednesday,Spring,0,15,0.352
105,Thursday,Spring,0,26,0.305
20,Friday,Spring,1,10,0.236
113,Saturday,Spring,0,19,0.279
186,Sunday,Spring,0,25,0.321
129,Monday,Spring,0,25,0.231
96,Tuesday,Spring,0,23,0.192
115,Wednesday,Spring,0,27,0.264
81,Thursday,Spring,0,22,0.289
153,Friday,Spring,0,23,0.223
144,Saturday,Spring,0,19,0.319
136,Sunday,Spring,0,15,0.305
86,Monday,Spring,0,28,0.28
120,Tuesday,Spring,0,27,0.359
76,Wednesday,Spring,0,16,0.439
63,Thursday,Spring,0,13,0.415
161,Friday,Spring,0,30,0.481
166,Saturday,Spring,0,26,0.494
127,Sunday,Spring,0,22,0.482
57,Monday,Spring,0,18,0.53
23,Tuesday,Spring,0,10,0.589
59,Wednesday,Spring,0,23,0.527
37,Thursday,Spring,0,16,0.622
45,Friday,Spring,0,25,0.706
78,Saturday,Spring,0,20,0.658
101,Sunday,Spring,0,25,0.612
40,Monday,Spring,0,18,0.699
50,Tuesday,Spring,0,28,0.689
32,Wednesday,Spring,0,20,0.783
17,Thursday,Spring,0,16,0.856
12,Friday,Spring,0,20,0.89
8,Saturday,Spring,0,11,0.917
50,Sunday,Spring,0,27,0.908
9,Monday,Spring,0,25,0.993
17,Tuesday,Spring,0,16,0.921
5,Wednesday,Spring,1,19,0.951
5,Thursday,Spring,1,16,0.859
54,Friday,Spring,0,23,0.781
61,Saturday,Spring,0,20,0.744
73,Sunday,Spring,0,26,0.765
21,Monday,Spring,0,12,0.722
30,Tuesday,Spring,0,18,0.736
43,Wednesday,Spring,0,29,0.783
23,Thursday,Spring,0,10,0.821
82,Friday,Spring,0,29,0.722
85,Saturday,Spring,0,28,0.684
63,Sunday,Spring,0,19,0.669
28,Monday,Spring,0,11,0.698
51,Tuesday,Spring,0,27,0.735
42,Wednesday,Spring,0,29,0.802
53,Thursday,Spring,0,25,0.75
43,Friday,Spring,0,23,0.745
54,Saturday,Spring,0,15,0.704
104,Sunday,Spring,0,26,0.721
41,Monday,Spring,0,21,0.746
11,Tuesday,Spring,0,12,0.81
23,Wednesday,Spring,0,19,0.767
46,Thursday,Spring,0,20,0.706
53,Friday,Spring,0,17,0.729
61,Saturday,Spring,0,30,0.827
18,Sunday,Spring,1,27,0.921
14,Monday,Spring,0,18,0.86
19,Tuesday,Spring,0,29,0.812
38,Wednesday,Spring,0,30,0.736
17,Thursday,Spring,1,20,0.685
31,Friday,Spring,0,16,0.679
105,Saturday,Spring,0,21,0.614
128,Sunday,Spring,0,22,0.617
59,Monday,Spring,0,28,0.635
83,Tuesday,Spring,0,23,0.545
74,Wednesday,Spring,0,30,0.603
63,Thursday,Spring,0,25,0.52
73,Friday,Spring,0,16,0.527
137,Saturday,Spring,0,19,0.448
145,Sunday,Spring,0,24,0.356
47,Monday,Spring,0,14,0.281
75,Tuesday,Spring,0,25,0.325
93,Wednesday,Spring,0,19,0.268
37,Thursday,Spring,0,13,0.335
158,Friday,Spring,0,26,0.426
167,Saturday,Spring,0,18,0.406
166,Sunday,Spring,0,25,0.427
62,Monday,Spring,0,22,0.435
63,Tuesday,Spring,0,12,0.347
120,Wednesday,Spring,0,24,0.287
126,Thursday,Spring,0,29,0.382
109,Friday,Spring,0,17,0.336
152,Saturday,Spring,0,21,0.385
132,Sunday,Spring,0,19,0.469
97,Monday,Summer,0,25,0.511
81,Tuesday,Summer,0,33,0.459
50,Wednesday,Summer,0,35,0.537
77,Thursday,Summer,0,28,0.462
70,Friday,Summer,0,44,0.449
80,Saturday,Summer,0,42,0.54
131,Sunday,Summer,0,37,0.49
44,Monday,Summer,0,32,0.582
35,Tuesday,Summer,0,40,0.518
50,Wednesday,Summer,0,37,0.566
35,Thursday,Summer,1,30,0.543
32,Friday,Summer,0,45,0.595
48,Saturday,Summer,0,45,0.595
97,Sunday,Summer,0,38,0.529
45,Monday,Summer,0,45,0.493
39,Tuesday,Summer,0,39,0.531
31,Wednesday,Summer,0,45,0.442
100,Thursday,Summer,0,29,0.431
77,Friday,Summer,0,39,0.515
48,Saturday,Summer,0,43,0.614
80,Sunday,Summer,0,39,0.572
54,Monday,Summer,0,34,0.524
33,Tuesday,Summer,1,35,0.467
98,Wednesday,Summer,0,32,0.464
86,Thursday,Summer,0,31,0.436
104,Friday,Summer,0,32,0.402
229,Saturday,Summer,0,27,0.424
169,Sunday,Summer,0,30,0.434
55,Monday,Summer,0,43,0.367
45,Tuesday,Summer,0,44,0.29
128,Wednesday,Summer,0,28,0.199
29,Thursday,Summer,0,45,0.29
127,Friday,Summer,0,30,0.304
138,Saturday,Summer,0,37,0.206
176,Sunday,Summer,0,29,0.19
124,Monday,Summer,0,31,0.19
88,Tuesday,Summer,0,36,0.24
83,Wednesday,Summer,0,30,0.296
100,Thursday,Summer,0,31,0.388
98,Friday,Summer,1,28,0.477
254,Saturday,Summer,0,26,0.489
67,Sunday,Summer,0,44,0.527
81,Monday,Summer,0,38,0.447
80,Tuesday,Summer,0,33,0.392
85,Wednesday,Summer,0,30,0.417
69,Thursday,Summer,0,30,0.503
57,Friday,Summer,0,41,0.51
93,Saturday,Summer,0,36,0.487
87,Sunday,Summer,0,37,0.548
42,Monday,Summer,0,38,0.547
53,Tuesday,Summer,0,33,0.603
34,Wednesday,Summer,1,30,0.554
33,Thursday,Summer,0,39,0.57
90,Friday,Summer,0,26,0.52
85,Saturday,Summer,0,40,0.539
176,Sunday,Summer,0,25,0.5
71,Monday,Summer,0,35,0.414
106,Tuesday,Summer,0,33,0.387
112,Wednesday,Summer,0,25,0.452
57,Thursday,Summer,0,39,0.473
114,Friday,Summer,0,30,0.495
55,Saturday,Summer,0,39,0.587
106,Sunday,Summer,0,28,0.655
33,Monday,Summer,1,35,0.564
87,Tuesday,Summer,0,30,0.52
63,Wednesday,Summer,0,41,0.434
49,Thursday,Summer,0,36,0.506
51,Friday,Summer,0,42,0.533
129,Saturday,Summer,0,28,0.544
64,Sunday,Summer,0,43,0.535
51,Monday,Summer,1,29,0.479
52,Tuesday,Summer,0,39,0.417
87,Wednesday,Summer,0,32,0.404
27,Thursday,Summer,0,44,0.311
96,Friday,Summer,1,28,0.319
118,Saturday,Summer,0,43,0.394
117,Sunday,Summer,0,39,0.415
102,Monday,Summer,0,30,0.506
51,Tuesday,Summer,0,41,0.465
74,Wednesday,Summer,0,30,0.545
26,Thursday,Summer,0,45,0.555
73,Friday,Summer,0,42,0.501
108,Saturday,Summer,0,25,0.595
122,Sunday,Summer,0,32,0.558
67,Monday,Summer,0,27,0.589
81,Tuesday,Summer,0,37,0.489
77,Wednesday,Summer,0,34,0.466
88,Thursday,Summer,0,34,0.425
90,Friday,Summer,0,25,0.517
168,Saturday,Summer,0,34,0.434
182,Sunday,Summer,0,36,0.431
52,Monday,Fall,0,14,0.359
48,Tuesday,Fall,0,16,0.413
86,Wednesday,Fall,0,26,0.405
85,Thursday,Fall,0,26,0.482
64,Friday,Fall,0,15,0.549
88,Saturday,Fall,0,19,0.634
161,Sunday,Fall,0,27,0.57
55,Monday,Fall,0,25,0.654
68,Tuesday,Fall,0,23,0.573
50,Wednesday,Fall,0,26,0.504
96,Thursday,Fall,0,30,0.426
80,Friday,Fall,0,16,0.338
168,Saturday,Fall,0,30,0.434
187,Sunday,Fall,0,22,0.375
41,Monday,Fall,1,21,0.424
87,Tuesday,Fall,0,26,0.43
112,Wednesday,Fall,0,22,0.431
45,Thursday,Fall,1,26,0.461
73,Friday,Fall,0,14,0.409
211,Saturday,Fall,0,27,0.498
